codigo | descricao | tipo | classificacao | comprimento_mm | id_materia_prima | id_fornecedor | id_maquina | estoque_minimo | estoque_seguranca | consumo_mensal | massa_kg | estoque
152/1 | ROLAMENTO AGULHA HK 1210 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 45
153 | SUPORTE DE FIXAÇÃO DO SERVO(ELETRONICO) | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 54
154 | Varão roscado M14x135 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 10
154/1 | VARÃO DA FORQUILHA ROSCADO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
155 | Bucha da forquilha | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 60
155/1 | Bucha Do calço do suporte | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
156 | GABARITO PARA FURAÇÃO (OPCIONAL) | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
156/1 | GABARITO FURAÇÃO ESPECIAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
157 | BUCHA DE NYLON DO PIT BULL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 60
158 | KIT DE FERRAMENTAS P/ INSTAL. ELETRONICO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 150
159 | Cupilha 1/8 MULTITRUC 003000 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 70
160 | BUJÃO PARA MAQUINA AGRICOLA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 60
161 | BICO GRAXADEIRA 6MM RETO PASSO 1 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
162 | Parafuso allen c/ cabeça M10x50 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
163 | Parafuso sext. M8x70 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
166 | COTOVELO AR ENGATE RAPIDO AGRALE | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 45
164 | Arruela de pressão M14 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
167 | ALAVANCA DE ACIONAMENTO ELET. | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 8
630 | ALAVANCA DE ACIONAMENTO ELET.ESPECIAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 12
167/1 | EIXO DA ALAVANCA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 20
631 | EIXO ALAVANCA FURO DE 14,5 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
167/2 | BUCHA PLASTICA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 140
167/3 | ROLAMENTO 6301Z | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 11
167/4 | PINO DO ROLAMENTO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
168 | PARAFUSO SEXT.M12X25 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
169 | ARRUELA PRESSÃO DE 12 MM | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
170 | PARAFUSO ALLEN C/ CAB. 1/4 X1 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
171 | CONEXÃO P/ TUBO DE 10MM X FEMIA 14 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
172 | Calço da barra roscada | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 20
173 | TAMPA DE PROTEÇÃO DO ELETRONICO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 290
174 | Porca auto travante M14x2 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 15
175 | Parafuso sext. M6 X 15 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
